# Stone poses after Tim Daw, stonehenge-block-3d, data/locked_poses.json
# commit 52e81ba412dfd6c912937b3b1212d962be67c21a, generated_at 2026-09-20T06:10:20Z, frame OSGB (British National Grid, metres)
# Licence CC BY-SA 4.0 (c) 2026 Tim Daw. Digitised from the M J Rees & Co 1989/90 survey,
# Historic England Archive MP/STO0861. yaw_deg is anticlockwise from grid east along the width axis.
# accuracy_class is Daw's own grade; seed_only and plan_digitised are placeholders, not survey.
petrie,role,status,e_m,n_m,yaw_deg,z_base_m,width_m,thickness_m,length_m,height_m,footprint_along_m,footprint_across_m,accuracy_class,height_source,hole_e_m,hole_n_m
1,sarsen_upright,standing,412258.301,142202.371,-59.9,0.0,1.993,1.22,,4.23,1.993,1.22,plan_locked,,,
2,sarsen_upright,standing,412259.927,142199.705,-75.77,0.0,2.032,1.325,,4.27,2.032,1.325,plan_locked,,,
3,sarsen_upright,standing,412260.779,142196.663,-76.45,0.0,1.81,1.196,,4.16,1.81,1.196,locked,,,
4,sarsen_upright,standing,412260.937,142193.566,86.65,0.0,1.963,0.977,,4.27,1.963,0.977,locked,,,
5,sarsen_upright,standing,412260.708,142190.552,77.32,0.0,1.521,0.854,,4.27,1.521,0.854,locked,,,
6,sarsen_upright,standing,412259.575,142187.198,63.45,0.0,2.221,1.016,,4.19,2.221,1.016,locked,,,
7,sarsen_upright,standing,412257.893,142184.262,58.28,0.0,1.863,1.005,,4.113,1.863,1.005,plan_locked_auto,,,
8,sarsen_upright,stump_or_low,412257.4,142180.255,-58.74,0.0,2.024,1.635,,0.66,2.024,1.635,locked,Cleal App.5 AGL,,
9a,sarsen_upright,fallen_fragment,412253.516,142179.51,32.41,0.0,1.893,1.506,,0.76,1.893,1.506,locked,Cleal App.5 AGL,,
9b,sarsen_upright,fallen_fragment,412254.621,142177.54,-39.66,0.0,2.294,1.731,,0.76,2.294,1.731,locked,Cleal App.5 AGL,,
10,sarsen_upright,standing,412249.862,142179.242,9.15,0.0,2.123,0.983,,3.96,2.123,0.983,locked,,,
11,sarsen_upright,standing,412247.017,142178.247,6.63,0.0,1.12,0.901,,2.74,1.12,0.901,locked,Cleal App.5 AGL,,
12,sarsen_upright,stump_or_low,412243.784,142177.022,-79.39,0.0,5.23,1.963,,0.53,5.23,1.963,locked,Cleal App.5 AGL,,
14,sarsen_upright,stump_or_low,412238.975,142182.328,-36.76,0.0,2.087,4.88,,1.06,2.087,4.88,locked,Cleal App.5 AGL,,
15,sarsen_upright,stump_or_low,412237.373,142185.574,-41.11,0.0,1.887,1.361,,0.86,1.887,1.361,locked,Cleal App.5 AGL,,
16,sarsen_upright,standing,412232.637,142185.075,-52.01,0.0,1.911,1.383,,4.27,1.911,1.383,locked,,,
19,sarsen_upright,stump_or_low,412227.435,142194.339,87.01,0.0,2.334,2.894,,0.41,2.334,2.894,locked,Cleal App.5 AGL,,
